source_path	source_sha256	status	godot_file
SPD-classes/src/main/java/com/watabou/glscripts/Script.java	6e17e16e592ee1b5cfeb50c29a5d60cc235f4bdca202612007e9a60dcbe3cd66	unported	-
SPD-classes/src/main/java/com/watabou/gltextures/Atlas.java	980de0aaec00c824e9fb197598279208b8e9fe9a8f96c3d687918eb10db9ae74	unported	-
SPD-classes/src/main/java/com/watabou/gltextures/SmartTexture.java	7aacad3641368046f1c6279a115d7bcde679ecf7765da85f6901a1f4ddf6158b	unported	-
SPD-classes/src/main/java/com/watabou/gltextures/TextureCache.java	edce54eba3c0867d2fda7778524d5b0649ab5a3012293fe7639132f55b0288d3	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Attribute.java	8173df61b9bfe3c3d1202b09b9bfca0ad4a023a767b788ecb4795685fb27fe7d	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Blending.java	58516562b57a7066db983ac32ba8aadf97edde7849dd3825a1e95b542d95b6e6	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Framebuffer.java	0a70c1300679d13327b8c70942132a4c9668ef8adbdf60ca5760f8a4ee21e409	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Matrix.java	cda6fc2c89381dd9a778518955dad90895505c7ae60f5477a533dd3ac7ec752b	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Program.java	45402f1546ee8a71881664e10809d62594a960a8baccc89282e435bb103edde5	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Quad.java	f9854083b086460bcf7488a51a7a95a24ccd7e661901ed8f015727f2f27a25bf	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Renderbuffer.java	cbd1cad9015217e89938a92da94ba69de79ff0e7dbbbc6a482f9ab897dc7af8a	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Shader.java	0a9626a1db78223b4604c75fc31bb6b66d7889f720c643c1ce60211c03c7c559	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Texture.java	1ec27149970329246264c7690c843f8662dbc3a333ddb6f94f01e1b8a5bab70f	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Uniform.java	87868c7c5ec69141afa32f01f9015f7bc841167c6e18d40ab19bb6903dabdc38	unported	-
SPD-classes/src/main/java/com/watabou/glwrap/Vertexbuffer.java	731db7005591d6965f58bb73d2e68687c5058678c7fe65b226ae42632c0204cb	unported	-
SPD-classes/src/main/java/com/watabou/input/ControllerHandler.java	4ac114b2f8575a202b5b9eecbc05b4dfc6dc258a0286bed1f430005ac7005f5f	unported	-
SPD-classes/src/main/java/com/watabou/input/GameAction.java	fe2721640e2fea82834632e99b52381d5b056823100084bf8a2749efb4e6136f	unported	-
SPD-classes/src/main/java/com/watabou/input/InputHandler.java	b9267cbe16bd6be2404c2c461a43bd6549b38a567184a9feac235fc86f952f04	unported	-
SPD-classes/src/main/java/com/watabou/input/KeyBindings.java	2d5925344d745e471a9f2be3d84b84c5c566a142af478809a8618fb747da7f53	unported	-
SPD-classes/src/main/java/com/watabou/input/KeyEvent.java	c3fe49f977a47bd50c7a6c5b7015daff7d77f63db42ebebf9c2ffca820dfef00	unported	-
SPD-classes/src/main/java/com/watabou/input/PointerEvent.java	02675e2c2961582002470b36c567548644a5d7841222aea00ea09c1d9ae16746	unported	-
SPD-classes/src/main/java/com/watabou/input/ScrollEvent.java	a4f1c2b327e6b92f0d6614074c64c84a2c29939b48ddeff8cea7086ba8203424	unported	-
SPD-classes/src/main/java/com/watabou/noosa/BitmapText.java	1bb375ff7ea86b370306e13917ef3afa710be6ac8880690108212b1c7121cda1	unported	-
SPD-classes/src/main/java/com/watabou/noosa/Camera.java	336c0cc519636377e38a33707cb243c0fb5b5fb44bc6c5d45f30a28382240a12	unported	-
SPD-classes/src/main/java/com/watabou/noosa/ColorBlock.java	12dfc3a1c59d0d1eda6a3788f8077d3de5fe75850f976ffa9d6bbef26b211c5b	unported	-
SPD-classes/src/main/java/com/watabou/noosa/Game.java	4d237dd8c5053ae9db1708450291993bea5d14fcedaeda53089db423e93f269a	unported	-
